domain,hook,method,route,consumerFile,openapiStatus,classification,recommendation,kind
fiscal-verifactu,useGetAdminVerifactuStatus,GET,"/api/admin/verifactu/status",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
hr,,GET,"/api/hr/departments",artifacts/piccolo-tpv/src/pages/hr/HRCatalogos.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/departments",artifacts/piccolo-tpv/src/pages/hr/HREmpleados.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,PATCH,"/api/hr/employee-requests/",artifacts/piccolo-tpv/src/pages/hr/HRSolicitudes.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/employee-requests",artifacts/piccolo-tpv/src/pages/hr/HRSolicitudes.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,POST,"/api/hr/employee-requests",artifacts/piccolo-tpv/src/pages/hr/HRSolicitudes.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/employees/",artifacts/piccolo-tpv/src/pages/hr/HREmpleados.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,PATCH,"/api/hr/employees/",artifacts/piccolo-tpv/src/pages/hr/HREmpleados.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/employees",artifacts/piccolo-tpv/src/pages/backup/DevicesPage.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/employees",artifacts/piccolo-tpv/src/pages/hr/HREmpleados.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,POST,"/api/hr/employees",artifacts/piccolo-tpv/src/pages/hr/HREmpleados.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/employees",artifacts/piccolo-tpv/src/pages/hr/HRImport.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/employees",artifacts/piccolo-tpv/src/pages/hr/HRSolicitudes.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,DELETE,"/api/hr/import/",artifacts/piccolo-tpv/src/pages/hr/HRImport.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,POST,"/api/hr/import/confirm",artifacts/piccolo-tpv/src/pages/hr/HRImport.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/import/history/",artifacts/piccolo-tpv/src/pages/hr/HRImport.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/import/history",artifacts/piccolo-tpv/src/pages/hr/HRImport.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/import/templates",artifacts/piccolo-tpv/src/pages/hr/HRImport.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,POST,"/api/hr/pay-periods/",artifacts/piccolo-tpv/src/pages/hr/HRPeriodos.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/pay-periods",artifacts/piccolo-tpv/src/pages/hr/HRPeriodos.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,POST,"/api/hr/pay-periods",artifacts/piccolo-tpv/src/pages/hr/HRPeriodos.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/positions",artifacts/piccolo-tpv/src/pages/hr/HRCatalogos.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/positions",artifacts/piccolo-tpv/src/pages/hr/HREmpleados.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/reports/costs",artifacts/piccolo-tpv/src/pages/hr/HRInformes.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/reports/hours",artifacts/piccolo-tpv/src/pages/hr/HRInformes.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
hr,,GET,"/api/hr/reports/vs-sales",artifacts/piccolo-tpv/src/pages/hr/HRInformes.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
inventory-purchasing,useGetAdminCostAlerts,GET,"/api/admin/cost-alerts",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,useGetAdminCostHistory,GET,"/api/admin/cost-history",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,,GET,"/api/admin/goods-receipts/",artifacts/piccolo-tpv/src/pages/recepcion-mercancia.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/goods-receipts",artifacts/piccolo-tpv/src/pages/conciliacion-factura.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/goods-receipts",artifacts/piccolo-tpv/src/pages/facturas-proveedor.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,,GET,"/api/admin/goods-receipts",artifacts/piccolo-tpv/src/pages/recepcion-mercancia.tsx,missing,app-http-pending-contract,contract-candidate,direct-customFetch
inventory-purchasing,useCreatePurchaseOrder,POST,"/api/admin/goods-receipts",lib/api-client-react/src/generated/api.ts,missing,manual-hook-pending-contract,contract-candidate,manual-hook
inventory-purchasing,,GET,"/api/admin/ingredients/",artifacts/piccolo-tpv/src/pages/ingredientes.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
inventory-purchasing,,PUT,"/api/admin/ingredients/",artifacts/piccolo-tpv/src/pages/ingredientes.tsx,missing,app-http-pending-contract,contract-candidate,direct-api-client
